param hfix := 
 LYF102G H204  13
 LYF102G H205  12
 LYF102G H207  22
 LYF102G H201  20
 LYF102G H209  3
 LOG504G O301  32
 LOG504G Ht204  16
 LOG504G N166  24
 LOG504G O102  11
 TAK102G O301  6
 TAK102G O102  2
 TAK302G O102  5
 ABF305G L102  11
 ABF305G L204  2
 BYG101M L103  9
 BYG101M L205  1
 EDL520M L103  9
 EDL520M L204  3
 FRG102G E203C  15
 FRG102G E103C  35
 FRG102G L201  12
 HAG512M L103  7
 HAG512M L204  1
 HJU701G O201  35
 HJU701G L205  7
 HJU702G E201C  34
 HJU702G A101  7
 HSP107G A201  41
 HSP107G A303  1
 IDN113F Ht104  17
 IDN113F L205  3
 ISE305G Ht102  29
 ISE305G A310  1
 ISE308M A311  4
 ISL111G V138  12
 ISL111G V258  22
 ISL111G A303  2
 JAP102G A301  17
 JAP102G A101  1
 JAP304G A311  11
 JAP304G A101  1
 LAN107G V156  22
 LAN107G V261  30
 LAN107G V152  32
 LAN305G A304  12
 LAN305G L102  14
 LAN305G L204  4
 LIS102G A301  21
 LIS102G A310  1
 LSS302G H101  20
 LSS302G H205  13
 LSS302G H209  4
 NAR101G A050  20
 NAR101G A207  1
 NAR501M O201  9
 OSS101F Ht105  29
 OSS101F A310  1
 RUS106G A301  8
 RUS106G A311  8
 RUS106G A310  1
 SJU107G H204  12
 SJU107G H207  23
 SJU107G H209  3
 SJU509G E203C  15
 SJU509G E103C  12
 SJU509G L201  3
 SPA107G Ht103  17
 SPA107G A310  2
 STJ303M Ht105  28
 STJ317G Ht104  12
 STJ317G Ht102  12
 STJ317G Ht103  14
 STJ317G A101  6
 UMV101M N131  30
 UMV101M L205  1
 VID509G Ht104  23
 VID509G Ht102  39
 VID509G Ht103  21
 VID509G A304  14
 VID509G A310  8
 TJO328G Ht105  19
 TJO328G L204  2
;
end;
